Country,Year,GERD_USD_PPP,Total_Generation_TWh,Renewable_Generation_TWh,Broadband_Penetration,Supercomputer_TFlops,AI_Publication_Share,AI_Patent_Share,Commercial_Score
Canada,2010,366.817046127,607.03,370.67,45.5,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2011,373.216153396,638.27,396.69,45.5,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2012,375.812499674,636.54,403.37,45.5,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2013,378.794918999,655.69,415.48,54.25,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2014,393.1932549085,652.97,407.24,57.7875,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2015,379.1062268675,661.08,422.04,61.325,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2016,402.6092329885,667.13,430.73,64.8625,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2017,408.4051719735001,669.35,440.56,68.39999999999999,3599.65999,103.15378079864081,0.10931899641577061,23.0
Canada,2018,435.0162531825,661.2,433.39,46.1525,4437.339995,103.15378079864081,0.10931899641577061,23.0
Canada,2019,444.202401348,655.7,428.71,23.905,5275.02,103.15378079864081,0.10931899641577061,23.0
Canada,2020,470.8722048275,655.89,436.79,26.48583333333333,5978.98,103.15378079864081,0.10931899641577061,23.0
Canada,2021,534.0225989905,652.4,435.39,29.066666666666663,5886.0,103.15378079864081,0.10931899641577061,23.0
Canada,2022,577.2153779145,664.08,452.47,35.37083333333333,18190.7,103.15378079864081,0.10931899641577061,23.0
Canada,2023,584.4490267625,641.39,419.4500000000001,41.675,51889.100000000006,103.15378079864081,0.10931899641577061,23.0
Canada,2024,587.0497372845,636.79,409.28,41.675,85587.5,103.15378079864081,0.10931899641577061,23.0
Canada,2025,587.0497372845,636.79,409.28,41.675,119285.9,103.15378079864081,0.10931899641577061,23.0
China,2010,79.9209916805,4207.16,786.38,26.400000000000002,93014.59388,0.171503792390146,0.1344755970924195,48.0
China,2011,92.2209114805,4713.02,792.38,26.400000000000002,93014.59388,0.171503792390146,0.1884759181878161,48.0
China,2012,107.9477172145,4987.54,999.56,26.400000000000002,93014.59388,0.171503792390146,0.2122137404580152,48.0
China,2013,120.6169531865,5431.63,1093.37,26.400000000000002,93014.59388,0.171503792390146,0.2036249014972419,48.0
China,2014,128.992132516,5794.45,1289.23,26.400000000000002,93014.59388,0.1623867265598629,0.1814632735685367,48.0
China,2015,136.454670703,5814.58,1393.66,26.400000000000002,93014.59388,0.1485025348272483,0.2575586501066365,48.0
China,2016,146.3395289925,6133.16,1522.7900000000002,26.400000000000002,93014.59388,0.1397482149254726,0.3128905123522061,48.0
China,2017,156.66577919399998,6604.44,1667.06,26.400000000000002,48669.79694,0.1478837327893931,0.3689894199197373,48.0
China,2018,172.048351998,7166.14,1835.39,26.400000000000002,4325.0,0.159937187287419,0.4382297659053369,48.0
China,2019,194.5155515805,7503.43,2014.64,26.400000000000002,19906.94,0.1759108517760333,0.4287802382518453,48.0
China,2020,216.3166075385,7779.07,2185.01,26.400000000000002,29670.73,0.1791542722701392,0.5016188608691686,48.0
China,2021,249.3554261965,8534.26,2448.8,26.400000000000002,48371.6,0.1974844968353485,0.5788803308658255,48.0
China,2022,288.602731468,8848.71,2670.66,26.400000000000002,6108.73,0.234637545627319,0.6490303895231699,48.0
China,2023,325.996840189,9456.45,2894.2200000000003,26.400000000000002,3536.02,0.2319947652685692,0.6970223829061218,48.0
China,2024,325.996840189,10086.88,3398.83,26.400000000000002,3536.02,0.2319947652685692,0.6970223829061218,48.0
China,2025,325.996840189,10086.88,3398.83,26.400000000000002,3536.02,0.2319947652685692,0.6970223829061218,48.0
France,2010,393.7948275735,562.36,76.68,39.6702,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2011,413.1858130365,567.65,66.02,60.0521,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2012,422.5951451505,567.58,85.25,39.72865,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2013,445.3142615455,576.75,99.43,65.30319999999999,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2014,459.9720646775,566.31,94.03,28.8079,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2015,457.7093173965,574.14,91.84,31.484,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2016,479.241499063,558.84,99.0,33.71706666666667,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2017,491.8460040625,555.74,91.91,31.93655,16031.05,80.63453370418559,0.043010752688172046,19.0
France,2018,512.4148545475,576.24,113.85,35.2802,24205.72,80.63453370418559,0.043010752688172046,19.0
France,2019,562.5684711985,565.52,112.9,34.5949,32380.39,80.63453370418559,0.043010752688172046,19.0
France,2020,563.579936737,527.25,125.03,28.2908,20173.72,80.63453370418559,0.043010752688172046,19.0
France,2021,581.33069245,550.31,122.1,32.201080000000005,34314.619999999995,80.63453370418559,0.043010752688172046,19.0
France,2022,623.3368349560001,468.25,113.17,20.9593,53412.96,80.63453370418559,0.043010752688172046,19.0
France,2023,635.4759594445001,516.86,137.6,30.860683333333338,104616.98,80.63453370418559,0.043010752688172046,19.0
France,2024,635.4759594445001,560.11,151.0,17.118166666666667,155821.0,80.63453370418559,0.043010752688172046,19.0
France,2025,635.4759594445001,560.11,151.0,17.118166666666667,22506.1,80.63453370418559,0.043010752688172046,19.0
Germany,2010,542.8834476885,624.21,105.41,62.18625,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2011,598.1364487300001,605.0,124.43,81.2631,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2012,626.468003177,619.81,143.4,51.65405,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2013,640.4200860085,629.69,151.95,84.4148,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2014,679.7509232135001,618.75,161.93,40.540675,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2015,702.93637665,639.17,188.14,39.84245,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2016,749.4373228615,641.52,189.13,42.47283333333333,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2017,816.164673298,644.46,215.68,42.079375,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2018,867.6716482424999,632.28,222.93,43.2913,25654.33,257.884451996602,0.05017921146953405,17.0
Germany,2019,933.9613206905,600.09,241.17,42.327075,6048.26,257.884451996602,0.05017921146953405,17.0
Germany,2020,919.577748438,566.75,251.49,35.09702,53217.18,257.884451996602,0.05017921146953405,17.0
Germany,2021,978.173254627,578.83,232.5,43.75462,45049.91,257.884451996602,0.05017921146953405,17.0
Germany,2022,1055.3084578055,566.88,251.54,29.1778,27384.9,257.884451996602,0.05017921146953405,17.0
Germany,2023,1092.8151360825,503.69,274.07,42.21963333333333,43484.38,257.884451996602,0.05017921146953405,17.0
Germany,2024,1092.8151360825,492.96,287.83,27.282300000000003,111248.42,257.884451996602,0.05017921146953405,17.0
Germany,2025,1092.8151360825,492.96,287.83,27.282300000000003,1084038.2,257.884451996602,0.05017921146953405,17.0
India,2010,653.6921918013009,936.39,141.53,6.0,3763.94,0.0478727691164223,0.0012980269989615,14.0
India,2011,653.6921918013009,1032.32,171.94,6.0,3763.94,0.0478727691164223,0.0010996261271167,14.0
India,2012,653.6921918013009,1088.42,161.82999999999998,6.0,3763.94,0.0478727691164223,0.0019083969465648,14.0
India,2013,653.6921918013009,1141.23,182.99,6.0,3763.94,0.0478727691164223,0.0017336485421591,14.0
India,2014,653.6921918013009,1258.68,198.5,6.0,3763.94,0.0595729580487973,0.0040485829959514,14.0
India,2015,653.6921918013009,1310.56,191.67,6.0,3763.94,0.0673369403144037,0.0040145527537322,14.0
India,2016,653.6921918013009,1394.93,201.4,6.0,3763.94,0.0732942852619914,0.0048063058733057,14.0
India,2017,653.6921918013009,1462.39,225.96,6.0,3763.94,0.0712247025961472,0.0043049981758482,14.0
India,2018,653.6921918013009,1571.65,256.08,6.0,3763.94,0.0670977093704106,0.0053539898615936,14.0
India,2019,653.6921918013009,1611.18,292.24,6.0,4711.152,0.0604404756148014,0.0056639625813052,14.0
India,2020,653.6921918013009,1570.97,304.7,6.0,5658.364,0.0658714968252667,0.005244197181814,14.0
India,2021,653.6921918013009,1683.32,320.04999999999995,6.0,6605.575999999999,0.0744066545173639,0.0048550963526837,14.0
India,2022,653.6921918013009,1806.14,365.88,6.0,7552.788,0.0904013480260124,0.0041869543317662,14.0
India,2023,653.6921918013009,1918.97,370.68,6.0,8500.0,0.0921862234015631,0.0036966324084981,14.0
India,2024,653.6921918013009,2030.2,397.07,6.0,16922.05,0.0921862234015631,0.0036966324084981,14.0
India,2025,653.6921918013009,2030.2,397.07,6.0,84310.0,0.0921862234015631,0.0036966324084981,14.0
Japan,2010,550.2412256565,1156.04,118.24,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2011,582.014435509,1104.2,113.5,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2012,598.698491642,1106.88,111.32999999999998,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2013,648.195219015,1087.76,120.55,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2014,667.8456690995,1062.72,133.89999999999998,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2015,664.6135071479999,1030.12,154.01999999999998,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2016,632.867930729,1063.7,151.77,10.039167720333332,3057.35,80.63453370418559,0.017921146953405017,13.0
Japan,2017,659.0963750795,1076.86,163.29999999999998,10.039167720333332,2922.245,80.63453370418559,0.017921146953405017,13.0
Japan,2018,681.8995180075001,1082.93,175.34,10.039167720333332,2787.14,80.63453370418559,0.017921146953405017,13.0
Japan,2019,690.888266198,1047.4,176.41,10.039167720333332,7840.0,80.63453370418559,0.017921146953405017,13.0
Japan,2020,697.395521525,1011.03,193.03,10.413170098666669,482830.48,80.63453370418559,0.017921146953405017,13.0
Japan,2021,728.73457947,1034.67,208.14,10.787172477,42641.8,80.63453370418559,0.017921146953405017,13.0
Japan,2022,808.7036045990001,1040.57,213.19,10.787172477,39344.68,80.63453370418559,0.017921146953405017,13.0
Japan,2023,861.39134367,1006.73,222.86,10.787172477,31611.42,80.63453370418559,0.017921146953405017,13.0
Japan,2024,861.39134367,1016.39,233.11,10.787172477,466277.65,80.63453370418559,0.017921146953405017,13.0
Japan,2025,861.39134367,1016.39,233.11,10.787172477,349601.93,80.63453370418559,0.017921146953405017,13.0
South Korea,2010,527.7486230444999,495.03,5.69,61.12559396992985,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2011,586.255104422,518.16,7.399999999999999,57.46210082459919,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2012,647.883318038,531.21,8.17,30.322054059152475,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2013,678.4233073710001,537.16,10.23,26.213463008246997,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2014,722.1826910295,540.38,12.89,23.75,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2015,755.911892324,547.8,15.2,22.9,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2016,790.8341988365,560.98,18.13,26.83333333333333,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2017,880.9927566805,576.41,22.33,25.68,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2018,974.148819905,592.91,27.8,28.1475,13929.3,77.36533559898061,0.02867383512544803,14.0
South Korea,2019,1017.002407264,586.8,33.01,23.830531596498236,29680.4,77.36533559898061,0.02867383512544803,14.0
South Korea,2020,1084.7247064245,577.11,40.4,25.606141101679757,45431.5,77.36533559898061,0.02867383512544803,14.0
South Korea,2021,1190.9608919005,607.76,48.1,26.43779963969841,61182.6,77.36533559898061,0.02867383512544803,14.0
South Korea,2022,1337.200392063,622.59,55.49,45.58559463358359,13559.0,77.36533559898061,0.02867383512544803,14.0
South Korea,2023,1392.277170068,617.49,59.07,47.466,56950.0,77.36533559898061,0.02867383512544803,14.0
South Korea,2024,1392.277170068,625.38,60.72,47.466,177494.0,77.36533559898061,0.02867383512544803,14.0
South Korea,2025,1392.277170068,625.38,60.72,47.466,177494.0,77.36533559898061,0.02867383512544803,14.0
United Arab Emirates,2010,653.6921918013009,93.95,0.02,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2011,653.6921918013009,99.13,0.02,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2012,653.6921918013009,106.21,0.02,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2013,653.6921918013009,109.99,0.09,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2014,653.6921918013009,116.54,0.31,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2015,653.6921918013009,127.38,0.3,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2016,653.6921918013009,129.61,0.32,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2017,653.6921918013009,134.57,0.75,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2018,653.6921918013009,136.01,1.2,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2019,653.6921918013009,138.45,3.66,11.6,7257.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2020,653.6921918013009,137.31,5.18,11.6,6716.25,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2021,653.6921918013009,149.05,6.25,11.6,6175.5,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2022,653.6921918013009,155.42,7.75,11.6,5634.75,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2023,653.6921918013009,167.53,14.670000000000002,11.6,5094.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2024,653.6921918013009,177.26,15.62,11.6,55810.0,25.788445199660202,0.005376344086021506,13.0
United Arab Emirates,2025,653.6921918013009,177.26,15.62,11.6,73600.0,25.788445199660202,0.005376344086021506,13.0
United Kingdom,2010,299.84124657300003,382.06,26.18,45.381350000000005,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2011,307.2039582985,367.97,35.2,78.4627,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2012,302.8563542175,363.87,41.24,55.80635,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2013,324.576735367,358.28,53.21,81.9804,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2014,468.45466446,338.08,64.50999999999999,37.45935,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2015,485.018964259,338.87,83.36000000000001,37.083025,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2016,512.6626767289999,339.18,83.00999999999999,47.04236666666666,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2017,537.4612451314999,338.22,98.89,45.89703333333333,3243.41,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2018,640.815084172,333.76,110.14,49.40916666666667,8624.307499999999,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2019,669.8773606459999,327.19,119.74,42.093900000000005,14005.205,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2020,710.4360270220001,310.3,133.63,37.82822,19386.1025,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2021,740.931238165,307.9,122.49,59.41,24767.0,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2022,807.0179447630001,324.58,135.06,59.41,22112.65,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2023,776.287711069,292.53,135.67000000000002,59.41,19458.3,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2024,776.287711069,284.16,143.92000000000002,59.41,85617.0,180.51911639762142,0.12903225806451613,25.0
United Kingdom,2025,776.287711069,284.16,143.92000000000002,59.41,245034.4,180.51911639762142,0.12903225806451613,25.0
United States,2010,660.562483542,4113.94,424.48,72.85,6720.52,0.1183834657162557,0.4000519210799584,100.0
United States,2011,685.2176184035,4088.87,509.74,72.85,6720.52,0.1183834657162557,0.3241697822740268,100.0
United States,2012,691.5007922469999,4040.67,492.3200000000001,72.85,6720.52,0.1183834657162557,0.3458015267175572,100.0
United States,2013,718.9298488995,4055.61,520.38,64.1399089768,6720.52,0.1183834657162557,0.3814026792750197,100.0
United States,2014,747.5520074915,4096.01,546.83,55.42981795359999,6720.52,0.1125161200979755,0.4207634470792366,100.0
United States,2015,788.9549777185,4083.99,556.49,46.7197269304,7619.46,0.1163464405913176,0.4283025969138125,100.0
United States,2016,823.100775494,4087.56,624.91,38.0096359072,8584.060000000001,0.1171692092348966,0.3918100547918869,100.0
United States,2017,866.408226687,4052.31,707.19,29.299544884,16543.93,0.1195856515484789,0.3447646844217439,100.0
United States,2018,940.5903817255,4201.55,733.1700000000001,23.984174349,130741.92,0.1226818739549757,0.2869510736458392,100.0
United States,2019,1025.7293846,4158.38,760.76,17.873298795333334,75609.34,0.1275541729127376,0.3123218592413944,100.0
United States,2020,1101.4211488985002,4043.18,821.4,11.762423241666667,128321.17,0.1294481219174714,0.2654703816863514,100.0
United States,2021,1237.0211414255,4153.62,861.5799999999999,5.651547688,1628216.75,0.1242813915077227,0.2097431594089969,100.0
United States,2022,1357.9472476085,4286.89,958.14,5.651547688,108001.43,0.0977922195455152,0.1749076561450638,100.0
United States,2023,1418.9021504564998,4253.91,964.74,5.651547688,1975378.05,0.0919946206627285,0.1416175813462241,100.0
United States,2024,1418.9021504564998,4391.02,1056.63,5.651547688,2422254.1,0.0919946206627285,0.1416175813462241,100.0
United States,2025,1418.9021504564998,4391.02,1056.63,5.651547688,453339.76,0.0919946206627285,0.1416175813462241,100.0
